,Minirocket,Minirocket_AUG
ACSF1,0.91,0.9
Adiac,0.8132992327365729,0.7595907928388747
ArrowHead,0.8628571428571429,0.7142857142857143
Beef,0.8333333333333334,0.7333333333333333
BeetleFly,0.9,0.75
BirdChicken,0.9,0.9
BME,0.9933333333333333,0.94
Car,0.9166666666666666,0.9166666666666666
CBF,0.9988888888888889,0.9955555555555555
Chinatown,0.9854227405247813,0.9737609329446064
ChlorineConcentration,0.76015625,0.63203125
CinCECGTorso,0.8644927536231884,0.813768115942029
Coffee,1.0,1.0
Computers,0.716,0.764
CricketX,0.8153846153846154,0.7615384615384615
CricketY,0.8333333333333334,0.7743589743589744
CricketZ,0.8256410256410256,0.8205128205128205
DiatomSizeReduction,0.9248366013071896,0.8496732026143791
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.7482014388489209
DistalPhalanxOutlineCorrect,0.7644927536231884,0.7717391304347826
DistalPhalanxTW,0.6546762589928058,0.6618705035971223
Earthquakes,0.7482014388489209,0.7553956834532374
ECG200,0.92,0.9
ECG5000,0.9455555555555556,0.9422222222222222
ECGFiveDays,1.0,0.9860627177700348
EOGHorizontalSignal,0.6049723756906077,0.5414364640883977
EOGVerticalSignal,0.5662983425414365,0.5138121546961326
EthanolLevel,0.608,0.52
FaceAll,0.8053254437869822,0.8497041420118343
FaceFour,0.9886363636363636,0.9090909090909091
FacesUCR,0.9565853658536585,0.9414634146341463
FiftyWords,0.8395604395604396,0.7846153846153846
Fish,0.9771428571428571,0.9714285714285714
FordA,0.953030303030303,0.946969696969697
FordB,0.8037037037037037,0.8111111111111111
FreezerRegularTrain,0.9996491228070176,0.9992982456140351
FreezerSmallTrain,0.968421052631579,0.9968421052631579
GunPoint,0.9933333333333333,0.9933333333333333
GunPointAgeSpan,0.9936708860759493,0.9936708860759493
GunPointMaleVersusFemale,1.0,0.9968354430379747
GunPointOldVersusYoung,0.9904761904761905,0.9873015873015873
Ham,0.6952380952380952,0.7238095238095238
Haptics,0.525974025974026,0.5551948051948052
Herring,0.6875,0.625
HouseTwenty,0.9663865546218487,0.9663865546218487
InlineSkate,0.48363636363636364,0.4109090909090909
InsectEPGRegularTrain,0.9879518072289156,0.9959839357429718
InsectEPGSmallTrain,0.9477911646586346,0.9357429718875502
InsectWingbeatSound,0.6712121212121213,0.6257575757575757
ItalyPowerDemand,0.9659863945578231,0.9193391642371235
LargeKitchenAppliances,0.8533333333333334,0.848
Lightning2,0.7377049180327869,0.6721311475409836
Lightning7,0.821917808219178,0.7123287671232876
Mallat,0.9368869936034115,0.8916844349680171
Meat,0.9666666666666667,0.9333333333333333
MedicalImages,0.8026315789473685,0.7526315789473684
MiddlePhalanxOutlineAgeGroup,0.551948051948052,0.6103896103896104
MiddlePhalanxOutlineCorrect,0.8487972508591065,0.8247422680412371
MiddlePhalanxTW,0.5064935064935064,0.5324675324675324
MixedShapesRegularTrain,0.9727835051546392,0.9698969072164948
MixedShapesSmallTrain,0.9550515463917526,0.9422680412371134
MoteStrain,0.9241214057507987,0.9321086261980831
OliveOil,0.9333333333333333,0.8666666666666667
OSULeaf,0.9504132231404959,0.9380165289256198
PhalangesOutlinesCorrect,0.8286713286713286,0.8251748251748252
Phoneme,0.2879746835443038,0.2758438818565401
PigAirwayPressure,0.6634615384615384,0.47115384615384615
PigArtPressure,0.9807692307692307,0.9663461538461539
PigCVP,0.9375,0.9326923076923077
Plane,1.0,1.0
PowerCons,0.9611111111111111,0.9611111111111111
ProximalPhalanxOutlineAgeGroup,0.8585365853658536,0.8536585365853658
ProximalPhalanxOutlineCorrect,0.9037800687285223,0.8762886597938144
ProximalPhalanxTW,0.8,0.7804878048780488
RefrigerationDevices,0.48533333333333334,0.49333333333333335
Rock,0.88,0.82
ScreenType,0.488,0.43466666666666665
SemgHandGenderCh2,0.9083333333333333,0.7916666666666666
SemgHandMovementCh2,0.6177777777777778,0.4577777777777778
SemgHandSubjectCh2,0.8622222222222222,0.7288888888888889
ShapeletSim,1.0,0.9333333333333333
ShapesAll,0.9216666666666666,0.91
SmallKitchenAppliances,0.8426666666666667,0.832
SmoothSubspace,0.9533333333333334,0.88
SonyAIBORobotSurface1,0.9018302828618968,0.8635607321131448
SonyAIBORobotSurface2,0.9139559286463799,0.8908709338929696
Strawberry,0.981081081081081,0.9621621621621622
SwedishLeaf,0.968,0.9552
Symbols,0.9829145728643216,0.9758793969849247
SyntheticControl,0.9866666666666667,0.9566666666666667
ToeSegmentation1,0.9517543859649122,0.9692982456140351
ToeSegmentation2,0.9076923076923077,0.8769230769230769
Trace,1.0,1.0
TwoLeadECG,0.9982440737489026,0.9947322212467077
TwoPatterns,0.9965,0.98575
UMD,0.9930555555555556,0.9930555555555556
UWaveGestureLibraryX,0.8439419318816304,0.830820770519263
UWaveGestureLibraryY,0.7707984366275824,0.7481853713009492
UWaveGestureLibraryZ,0.7964824120603015,0.7883863763260748
Wafer,0.9991888384166125,0.9998377676833226
Wine,0.9259259259259259,0.5370370370370371
WordSynonyms,0.7633228840125392,0.6974921630094044
Worms,0.7272727272727273,0.7142857142857143
WormsTwoClass,0.7922077922077922,0.7662337662337663
Yoga,0.9113333333333333,0.883
